,Accident Year,Pipeline Location,Pipeline Type,Liquid Type,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Public Evacuations,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs,month,day
10,2010,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LAKE CHARLES,CALCASIEU,LA,30.25989,-93.20991,NATURAL FORCE DAMAGE,TEMPERATURE,2237.0,0.0,2237.0,NO,NO,YES,0.0,29360.0,136233.0,,,,,165593,1,11
11,2010,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TAFT,SAN PATRICO,TX,28.05529,-97.32797,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",3.0,3.0,0.0,NO,NO,YES,0.0,30000.0,415.0,10000.0,7971.0,308883.0,0.0,357269,1,11
12,2010,ONSHORE,UNDERGROUND,CRUDE OIL,CHASE,RICE,KS,38.34519,-98.31356,CORROSION,INTERNAL,2.0,1.0,1.0,NO,NO,YES,,2000.0,150.0,0.0,3000.0,6500.0,500.0,12150,1,11
13,2010,ONSHORE,TANK,CRUDE OIL,CUSHING,PAYNE,OK,35.94466,-96.75427,NATURAL FORCE DAMAGE,TEMPERATURE,53.0,51.0,2.0,NO,NO,NO,,5000.0,150.0,0.0,0.0,100.0,32600.0,37850,1,11
14,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,CUSHING,LINCOLN,OK,35.93749,-96.74417,CORROSION,INTERNAL,21.0,21.0,0.0,NO,NO,YES,0.0,6826.0,150.0,0.0,13357.0,0.0,0.0,20333,1,12
15,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,RUSHVILLE,SCHUYLER,IL,40.16833,-90.56593,INCORRECT OPERATION,INCORRECT INSTALLATION,0.19,0.19,0.0,NO,NO,NO,,2500.0,0.0,0.0,30000.0,0.0,0.0,32500,1,12
16,2010,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",PAWNEE,PAWNEE,OK,36.39836,-96.74622,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,445.0,0.0,445.0,NO,NO,YES,19.0,175000.0,34000.0,68000.0,324000.0,1901615.0,15000.0,2517615,1,12
17,2010,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",SORRENTO,ASCENSION,LA,30.1724,-90.782,NATURAL FORCE DAMAGE,TEMPERATURE,3.49,0.0,3.49,NO,NO,NO,0.0,0.0,254.0,0.0,0.0,0.0,0.0,254,1,13
18,2010,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GALENA PARK,HARRIS,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,6.0,6.0,0.0,NO,NO,NO,,0.0,504.0,0.0,0.0,30000.0,0.0,30504,1,13
19,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,MENAHGA,HUBBARD,MN,46.8197,-95.1489,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.48,0.0,0.48,NO,NO,NO,0.0,0.0,34.0,0.0,0.0,64645.0,2000.0,66679,1,13
20,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,GOWANDA,CATTARAUGUS,NY,42.38229,-78.91763,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0.2,0.04,NO,NO,NO,,5000.0,17.0,0.0,50000.0,20000.0,0.0,75017,1,14
21,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,CARSON,LOS ANGELES,CA,33.80933,-118.25413,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,1.0,1.0,0.0,NO,NO,NO,,0.0,75000.0,0.0,1000000.0,3500000.0,0.0,4575000,1,15
22,2010,ONSHORE,UNDERGROUND,CRUDE OIL,ELLIS,ELLIS,KS,38.81386,-99.42139,CORROSION,INTERNAL,5.0,2.0,3.0,NO,NO,YES,,0.0,180.0,700.0,0.0,1500.0,1500.0,3880,1,15
23,2010,ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",PRINCETON,GIBSON,IN,38.32113,-87.34782,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,2.0,0.0,2.0,NO,NO,NO,,1000.0,100.0,0.0,0.0,0.0,0.0,1100,1,18
24,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",AURORA,ADAMS COUNTY,CO,39.0081,-104.01317,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.79,0.9,0.89,NO,NO,NO,,3500.0,500.0,0.0,10000.0,12000.0,0.0,26000,1,19
25,2010,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",HARTFORD,MADISON,IL,38.82204,-90.07892,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3.0,2.0,1.0,NO,NO,YES,0.0,41000.0,85.0,0.0,5100.0,0.0,0.0,46185,1,19
26,2010,ONSHORE,TANK,CRUDE OIL,TAFT,KERN,CA,35.27901,-119.31192,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,2.0,2.0,0.0,NO,NO,NO,,1200.0,150.0,0.0,2000.0,4457.0,0.0,7807,1,21
27,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GREENSBURG,ST. HELENA,LA,30.78251,-90.75851,NATURAL FORCE DAMAGE,TEMPERATURE,6.76,6.76,0.0,NO,NO,YES,,85000.0,570.0,0.0,105000.0,10000.0,0.0,200570,1,21
28,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",COLLINS,COVINGTON,MS,31.63251,-89.52266,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.71,0.71,0.0,NO,NO,,,2130.0,0.0,0.0,670.0,0.0,0.0,2800,1,21
29,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",EL DORADO,BUTLER COUNTY,KS,37.803255,-96.873398,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,1.2,1.2,0.0,NO,NO,NO,0.0,0.0,0.0,0.0,3623.0,3263.0,1981.0,8867,1,22
30,2010,ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",PRINCETON,GIBSON,IN,38.32113,-87.34782,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1.0,0.0,1.0,NO,NO,NO,,2000.0,100.0,0.0,0.0,0.0,0.0,2100,1,24
31,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,CUT OFF,LAFOURCHE,LA,29.47,-90.25444,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,202.0,202.0,0.0,NO,NO,YES,0.0,30000.0,0.0,0.0,600000.0,37000.0,0.0,667000,1,25
32,2010,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PORT ARTHUR,JEFFERSON,TX,29.8916,-93.9897,ALL OTHER CAUSES,MISCELLANEOUS,0.6,0.0,0.6,NO,NO,NO,,50000.0,65.0,0.0,10000.0,0.0,0.0,60065,1,27
33,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,DICKINSON,STARK,ND,46.851256,-102.770368,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,20.0,13.0,7.0,NO,NO,YES,0.0,500.0,420.0,0.0,750.0,9500.0,0.0,11170,1,28
34,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,HARPER,HARPER,KS,37.355914,-98.206945,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,15.0,10.0,5.0,NO,NO,,0.0,3000.0,500.0,0.0,2000.0,1000.0,0.0,6500,2,2
35,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MILWAUKEE,MILWAUKEE,WI,42.9289,-87.8884,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0.19,0.05,NO,NO,,,2500.0,35.0,0.0,0.0,1986.0,0.0,4521,2,4
36,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",EL DORADO,BUTLER,KS,37.80218,-96.90935,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3.0,1.67,1.33,NO,NO,,,100.0,200.0,0.0,3000.0,1500.0,0.0,4800,2,6
37,2010,ONSHORE,UNDERGROUND,CRUDE OIL,LAKE ARTHUR,JEFFERSON DAVIS,LA,30.0795,-92.7465,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",5.0,0.0,5.0,NO,NO,YES,0.0,230000.0,400.0,30000.0,120000.0,0.0,0.0,380400,2,8
38,2010,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",BATON ROUGE,EAST BATON ROUGE,LA,30.54741,-90.16677,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.64,0.64,0.0,NO,NO,,,500.0,0.0,0.0,450.0,0.0,0.0,950,2,9
39,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LINCOLN,HENDRICKS,IN,39.8106,-86.3342,NATURAL FORCE DAMAGE,TEMPERATURE,0.71,0.71,0.0,NO,NO,NO,0.0,0.0,0.0,0.0,2314.0,3063.0,0.0,5377,2,9
40,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",WAYNE,DUPAGE,IL,41.94352,-88.23353,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.12,0.12,0.0,NO,NO,NO,,25900.0,15.0,0.0,1500.0,1900.0,1200.0,30515,2,16
41,2010,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KANSAS CITY,WYANDOTTE,KS,39.13776,-94.5968,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,0.12,0.0,NO,NO,NO,,1000.0,14.0,0.0,0.0,500.0,0.0,1514,2,17
42,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LINDEN,UNION,NJ,40.6086,-74.2399,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.95,0.95,0.0,NO,NO,YES,,0.0,0.0,0.0,4400.0,12700.0,0.0,17100,2,19
43,2010,ONSHORE,UNDERGROUND,CRUDE OIL,LONGVIEW,GREGG,TX,32.4785,-94.8679,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,8.0,6.0,2.0,NO,NO,YES,0.0,3449.0,152.0,0.0,5634.0,84278.0,0.0,93513,2,20
44,2010,ONSHORE,UNDERGROUND,CRUDE OIL,MCCAMEY,UPTON,TX,31.13284,-101.18974,CORROSION,INTERNAL,9.0,9.0,0.0,NO,NO,NO,0.0,700.0,585.0,0.0,600.0,11000.0,4600.0,17485,2,21
45,2010,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",BIG SPRING,HOWARD,TX,32.22471,-101.4044,CORROSION,EXTERNAL,1.0,0.0,1.0,NO,NO,NO,0.0,0.0,2360.0,0.0,0.0,0.0,24500.0,26860,2,22
46,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",SPOKANE,SPOKANE,WA,47.71696,-117.35583,INCORRECT OPERATION,INCORRECT VALVE POSITION,0.71,0.0,0.71,NO,NO,NO,0.0,500.0,90.0,0.0,2200.0,6000.0,0.0,8790,2,22
47,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",COUNCIL BLUFFS,POTTAWATAMIE,IA,41.21235,-95.8301,INCORRECT OPERATION,INCORRECT VALVE POSITION,28.0,0.0,28.0,NO,NO,NO,0.0,0.0,2286.0,0.0,0.0,126721.0,0.0,129007,2,23
48,2010,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",POND CREEK,GRANT,OK,36.6659,-97.8846,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,13718.0,0.0,13718.0,NO,NO,YES,5.0,966352.0,622934.0,7500.0,3000.0,0.0,0.0,1599786,2,25
49,2010,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",,,NC,35.48354,-80.7357,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.55,0.55,0.0,NO,NO,,,15200.0,50.0,0.0,0.0,0.0,700.0,15950,2,25
50,2010,ONSHORE,UNDERGROUND,CRUDE OIL,LONGVIEW,GREGG,TX,32.48325,-94.83034,CORROSION,INTERNAL,198.0,196.0,2.0,NO,NO,YES,0.0,1134.0,150.0,0.0,11470.0,3264.0,0.0,16018,3,1
51,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,CLEARBROOK,CLEARWATER,MN,47.68857,-95.41732,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,3.0,3.0,0.0,NO,NO,YES,0.0,0.0,80.0,0.0,0.0,3000.0,16000.0,19080,3,1
52,2010,ONSHORE,ABOVEGROUND,CO2 (CARBON DIOXIDE),HAYNE,SEWARD,KS,37.10847,-100.80037,ALL OTHER CAUSES,MISCELLANEOUS,2.99,0.0,2.99,NO,NO,YES,0.0,3500.0,10.0,0.0,0.0,0.0,0.0,3510,3,1
53,2010,OFFSHORE,,CRUDE OIL,,,,28.10406,-90.79238,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.5,0.0,0.5,NO,NO,NO,0.0,100.0,75.0,0.0,598.0,0.0,0.0,773,3,3
54,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",SULPHUR,CALCASIEU,LA,30.16801,-93.34001,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,7.88,7.08,0.8,NO,NO,YES,,7000.0,500.0,13000.0,15000.0,27000.0,2500.0,65000,3,4
55,2010,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",SORRENTO,ASCENSION,LA,30.17319,-90.78774,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.31,0.0,0.31,NO,NO,YES,0.0,13500.0,94.0,0.0,0.0,0.0,0.0,13594,3,4
56,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",CARROLLTON,CARROLL,MO,39.36359,-93.45965,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,84.0,83.0,1.0,NO,NO,NO,0.0,0.0,90.0,0.0,5849.0,5348.0,0.0,11287,3,8
57,2010,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KANSAS CITY,WYANDOTTE,KS,39.13844,-94.60013,NATURAL FORCE DAMAGE,TEMPERATURE,168.0,75.0,93.0,NO,NO,NO,0.0,0.0,11625.0,0.0,1000.0,72995.0,0.0,85620,3,8
58,2010,ONSHORE,UNDERGROUND,CRUDE OIL,LONGVIEW,GREGG,TX,32.48248,-94.8391,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1.0,0.5,0.5,NO,NO,NO,,2500.0,39.0,0.0,2500.0,0.0,0.0,5039,3,9
59,2010,ONSHORE,UNDERGROUND,CRUDE OIL,CORSICANA,NAVARRO,TX,32.06839,-96.47081,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",1.0,0.05,0.95,NO,NO,NO,,17019.0,78.0,0.0,7967.0,1000.0,0.0,26064,3,9
60,2010,ONSHORE,UNDERGROUND,CRUDE OIL,SUPERIOR,DOUGLAS,WI,46.68889,-92.05972,NATURAL FORCE DAMAGE,TEMPERATURE,0.75,0.75,0.0,NO,NO,NO,0.0,1000.0,60.0,0.0,5000.0,2000.0,0.0,8060,3,11
61,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MILFORD,DICKINSON,IA,43.29183,-95.15157,NATURAL FORCE DAMAGE,OTHER NATURAL FORCE DAMAGE,115.0,45.0,70.0,NO,NO,YES,0.0,50.0,9000.0,2500.0,340000.0,160000.0,0.0,511550,3,14
62,2010,ONSHORE,TANK,CRUDE OIL,COMYN,COMANCHE,TX,32.07267,-98.46948,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.12,0.0,0.12,NO,NO,NO,,0.0,10.0,0.0,755.0,0.0,0.0,765,3,15
63,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,HOBBS,LEA,NM,32.652,-103.1393,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2.0,2.0,0.0,NO,NO,NO,,1000.0,160.0,0.0,0.0,0.0,0.0,1160,3,15
64,2010,ONSHORE,UNDERGROUND,CRUDE OIL,WHITE OAK,GREGG,TX,32.52582,-94.86381,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.6,0.0,0.6,NO,NO,YES,,,46.0,,10999.0,452.0,,11497,3,15
65,2010,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",SACRAMENTO,SACRAMENTO,CA,38.5997,-121.4483,CORROSION,INTERNAL,48.0,5.12,42.88,NO,NO,YES,0.0,60000.0,490.0,0.0,70000.0,299510.0,50000.0,480000,3,16
66,2010,ONSHORE,UNDERGROUND,CRUDE OIL,CUSHING,PAYNE,OK,35.95885,-96.75655,CORROSION,EXTERNAL,7.0,7.0,0.0,NO,NO,YES,0.0,25000.0,0.0,0.0,6000.0,5000.0,18000.0,54000,3,18
67,2010,ONSHORE,UNDERGROUND,CRUDE OIL,METTLER,KERN,CA,35.01937,-119.06305,CORROSION,INTERNAL,240.0,240.0,0.0,NO,NO,YES,0.0,0.0,800.0,0.0,2000.0,8000.0,6000.0,16800,3,20
68,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,MOKENA,WILL,IL,41.5569,-87.8861,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,90.0,90.0,0.0,NO,NO,YES,0.0,12000.0,6500.0,0.0,120000.0,20000.0,0.0,158500,3,21
69,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,TEXAS CITY,GALVESTON,TX,29.39972,-94.96417,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.47,0.47,0.0,NO,NO,NO,0.0,70000.0,30.0,0.0,36000.0,0.0,0.0,106030,3,22
70,2010,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",JACKSON,EAST FELICIANA,LA,30.71121,-91.28349,CORROSION,INTERNAL,1.35,1.35,0.0,NO,NO,,,166.0,107.0,0.0,4500.0,0.0,0.0,4773,3,23
71,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,WESTLAKE,CALCASIEU PARISH,LA,30.241,-93.27546,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.24,0.24,0.0,NO,NO,YES,,500.0,20.0,0.0,2000.0,1000.0,0.0,3520,3,23
72,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,CUSHING,LINCOLN,OK,35.93985,-96.75629,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.25,0.25,0.0,NO,NO,,,600.0,0.0,0.0,400.0,350.0,0.0,1350,3,24
73,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",BATON ROUGE,EAST BATON ROUGE,LA,30.54741,-90.16677,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.47,0.47,0.0,NO,NO,,,400.0,415.0,0.0,3400.0,0.0,0.0,4215,3,24
74,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PHILADELPHIA,PHILADELPHIA,PA,39.91934,-75.20447,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,1700.0,1699.0,1.0,NO,NO,YES,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000,3,25
75,2010,OFFSHORE,,CRUDE OIL,,,,28.68555,-91.04555,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,5.7,0.0,5.7,NO,NO,YES,0.0,2200000.0,1260.0,0.0,0.0,0.0,0.0,2201260,3,25
76,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,BORGER,,TX,35.68463,-101.35898,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.71,0.6,0.11,NO,NO,YES,,0.0,58.0,0.0,0.0,30000.0,0.0,30058,3,26
77,2010,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",ST PETERSBURG,PINELLAS,FL,27.86028,-82.59958,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,286.0,191.0,95.0,NO,NO,NO,0.0,15000.0,75000.0,0.0,212000.0,100000.0,35000.0,437000,3,27
78,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,SULPHUR,CALCASIEU,LA,30.15957,-93.33989,CORROSION,INTERNAL,0.6,0.6,0.0,NO,NO,YES,0.0,10000.0,30.0,0.0,5000.0,1100.0,0.0,16130,3,29
79,2010,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",BOURBONNAIS,KANKAKEE,IL,41.1784,-87.8504,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,40.0,40.0,0.0,NO,NO,YES,0.0,6900.0,1140.0,0.0,22550.0,84700.0,0.0,115290,3,29
80,2010,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",SALISBURY,CHARITON,MO,39.46308,-92.87136,NATURAL FORCE DAMAGE,EARTH MOVEMENT,656.0,0.0,656.0,NO,NO,YES,16.0,81600.0,29000.0,0.0,0.0,0.0,0.0,110600,3,30
81,2010,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",CHARLOTTE COURTHOUSE,CHARLOTTE,VA,37.15778,-78.835,NATURAL FORCE DAMAGE,TEMPERATURE,1.2,1.2,0.0,NO,NO,NO,,30.0,140.0,0.0,56000.0,67226.0,0.0,123396,3,31
82,2010,ONSHORE,ABOVEGROUND,CRUDE OIL,GOWER,BUCHANAN,MO,39.64343,-94.61827,CORROSION,INTERNAL,20.0,20.0,0.0,NO,NO,YES,0.0,90000.0,240.0,0.0,51000.0,48000.0,0.0,189240,4,3
